Title,Certificate,Duration,Genre,Rating,Description, Stars,Votes,Year
The 100,TV-14,43 min,"Drama, Mystery, Sci-Fi",7.6,"Set 97 years after a nuclear war destroyed civilization, when a spaceship housing humanity's lone survivors sends 100 juvenile delinquents back to Earth, hoping to repopulate the planet.","['Eliza Taylor, ', 'Bob Morley, ', 'Marie Avgeropoulos, ', 'Isaiah Washington']",248827,2020
The 11th Hour,Not Rated,97 min,"Drama, Thriller",4.9,Successful businesswoman Maria has achieved everything except what she wants the most - a baby of her own. She decides to deal with the matter by herself and embarks on a desperate and dangerous journey in order to make her dream come true.,"['Anders Morgenthaler', '| ', '    Stars:', 'Kim Basinger, ', 'Jordan Prentice, ', 'Sebastian Schipper, ', 'Peter Stormare']",1801,2014
The 69th Primetime Emmy Awards,TV-14,133 min,News,5.1,"The 69th Annual Primetime Emmy Awards will honor the best in U.S. prime time television programming from June 1, 2016 until May 31, 2017, as chosen by the Academy of Television Arts and Sciences.","['Glenn Weiss, ', 'Jeff Roe', '| ', '    Stars:', 'Tatiana Maslany, ', 'Emmy Rossum, ', 'Claire Foy, ', 'Tessa Thompson']",318,2017
The 7 Lives of Lea,TV-MA,45 min,"Crime, Drama, Fantasy",7.5,"Follows a woman who stumbles upon the body of Ismael, a teenager who disappeared thirty years earlier, with the event taking her back to 1991 and seeing her wake up every morning in the body of a different person.","['Raïka Hazanavicius, ', 'Khalil Ben Gharbia, ', 'Marguerite Thiam, ', 'Maïra Schmitt']",3323,2022
The 74th Annual Golden Globe Awards 2017,TV-14,180 min,News,5.5,"Comic Jimmy Fallon hosts a celebration of achievements in television and film, with actors Steve Carell, Anna Kendrick, Sofía Vergara and Brie Larson presenting awards and Golden Globe ...                See full summary »","['Louis J. Horvitz', '| ', '    Stars:', 'Jimmy Fallon, ', 'Nicole Kidman, ', 'Amy Adams, ', 'Sarah Paulson']",666,2017
The A List,TV-14,25 min,"Crime, Drama, Mystery",5.4,"Mia arrives at an idyllic summer camp expecting to be Queen Bee, but the ""holiday of a lifetime"" turns into a twisted nightmare.","['Lisa Ambalavanar, ', 'Ellie Duckles, ', 'Rosie Dwyer, ', 'Jack Kane']",2968,2021
The Accidental Narco,TV-MA,50 min,"Action, Biography, Crime",7.4,A civilian businessman who has no choice but to cooperate with the secret operation of the National Intelligence Service to arrest the Korean drug lord who has taken control of Suriname in South America.,"['Ha Jung-woo, ', 'Hwang Jung-min, ', 'Park Hae-soo, ', 'Woo-jin Jo']",2056,2022
The Adventures of Puss in Boots,TV-Y7,23 min,"Animation, Short, Action",6.5,"The famous cat protects the city of San Lorenzo, a mythical land invisible to the outside world.","['Eric Bauza, ', 'Jayma Mays, ', 'Grey Griffin, ', 'Paul Rugg']",1759,2018
The Affair,TV-MA,60 min,Drama,7.9,A struggling novelist and a young waitress strike up an extramarital relationship that promises to forever change the course of their lives.,"['Dominic West, ', 'Ruth Wilson, ', 'Maura Tierney, ', 'Julia Goldani Telles']",45649,2019
The After Party,Not Rated,120 min,"Comedy, Music",5.7,"When an aspiring rapper goes viral for all the wrong reasons, he thinks his career is over. But when his best friend gets them into a wild NYC after party, he gets one more chance to make the impossible happen.","['Ian Edelman', '| ', '    Stars:', 'Harrison Holzer, ', 'Kyle, ', 'Jordan Rock, ', 'Robbie Dema']",4457,2018
The Age of Spin: Dave Chappelle Live at the Hollywood Palladium,TV-MA,67 min,Comedy,8.1,"Dave Chappelle gives his usual skewed insight into the topics of race, technology, OJ Simpson, and more in a stand up special filmed in Hollywood.","['Stan Lathan', '| ', '    Stars:', 'Dave Chappelle, ', 'Morgan Freeman']",12653,2017
The Alienist,TV-MA,60 min,"Crime, Drama, Mystery",7.7,Newspaper illustrator John Moore meets with criminal psychologist (alienist) Dr. Laszlo Kreizler to investigate a serial killer in New York during the late 19th century.,"['Daniel Brühl, ', 'Dakota Fanning, ', 'Luke Evans, ', 'Robert Wisdom']",54039,2020
The Amazing World of Gumball,TV-Y7-FV,11 min,"Animation, Short, Adventure",8.3,The life of a twelve-year-old boy who happens to be a blue cat as he lives with his family and other strange creatures.,"['Dan Russell, ', 'Teresa Gallagher, ', 'Kerry Shale, ', 'Kyla Rae Kowalewski']",31652,2019
The Americans,TV-MA,44 min,"Crime, Drama, Mystery",8.4,"At the height of the Cold War, two Russian agents pose as the average American couple, complete with family.","['Keri Russell, ', 'Matthew Rhys, ', 'Keidrich Sellati, ', 'Holly Taylor']",98875,2018
